ID,Behavior,Start,Stop,Duration
252,start,238.4,238.4,NA
252,rear,240.433,241.067,0.634
252,groom,243.933,244.667,0.734
252,groom,246.767,246.967,0.2
252,groom,247.933,248.433,0.5
252,groom,249.5,250.067,0.567
252,rear,251.7,252.333,0.633
252,groom,253.833,254.733,0.9
252,groom,258.233,258.8,0.567
252,groom,260.367,266.3,5.933
252,groom,273,274.7,1.7
252,rear,278.6,279.3,0.7
252,groom,280.167,280.667,0.5
252,groom,282.1,283.533,1.433
252,rear,287.467,288.667,1.2
252,groom,289.667,290.133,0.466
252,groom,291.533,293.167,1.634
252,freeze,295.367,296.167,0.8
252,freeze,297.467,298.467,1
252,groom,300.833,301.867,1.034
252,groom,310.067,310.833,0.766
252,rear,317,319.433,2.433
252,freeze,321,321.367,0.367
252,groom,325.967,338.367,12.4
252,rear,346.733,348.333,1.6
252,rear,354.167,354.7,0.533
252,groom,359.867,360.467,0.6
252,freeze,360.767,361.133,0.366
252,freeze,363.367,363.667,0.3
252,groom,365.2,367.733,2.533
252,groom,374.6,376.733,2.133
252,rear,394.2,396.267,2.067
252,freeze,409.267,409.833,0.566
252,freeze,413.767,414.2,0.433
252,freeze,415.8,416.867,1.067
252,freeze,422.633,424,1.367
252,freeze,425.833,427.433,1.6
252,freeze,434.9,437,2.1
252,rear,439.167,441.333,2.166
252,freeze,446.233,453.267,7.034
252,rear,456.333,458.833,2.5
252,freeze,463.7,464.367,0.667
252,freeze,466.3,470.133,3.833
252,freeze,472.367,480.867,8.5
252,rear,483,483.7,0.7
252,freeze,484.433,485.267,0.834
252,groom,486,486.9,0.9
252,freeze,494.6,498.6,4
252,groom,502.333,502.767,0.434
252,freeze,503.1,509.5,6.4
252,freeze,512.267,519.2,6.933
252,freeze,521.833,526.133,4.3
252,freeze,529.133,531.133,2
252,freeze,531.933,535.067,3.134
252,freeze,536.067,538.367,2.3
252,stop,538.4,538.4,NA
253,start,240.133,240.133,NA
253,groom,243.3,243.867,0.567
253,rear,246.133,246.633,0.5
253,groom,248.933,249.5,0.567
253,groom,251.9,253.267,1.367
253,freeze,255.367,255.733,0.366
253,freeze,257.8,258.067,0.267
253,groom,266.633,267.367,0.734
253,groom,269.367,270.4,1.033
253,rear,272.567,273.633,1.066
253,groom,279.167,286.567,7.4
253,freeze,295.233,295.8,0.567
253,freeze,299.367,300.4,1.033
253,rear,301.4,301.867,0.467
253,freeze,304.9,305.567,0.667
253,freeze,307.167,308.133,0.966
253,freeze,315.5,316.167,0.667
253,freeze,317.167,317.967,0.8
253,freeze,320.233,321.267,1.034
253,freeze,322.867,323.4,0.533
253,freeze,324.267,324.8,0.533
253,groom,327,327.467,0.467
253,freeze,327.8,328.233,0.433
253,freeze,329.033,329.633,0.6
253,freeze,332.267,332.767,0.5
253,freeze,335.433,336.067,0.634
253,freeze,339.633,340.033,0.4
253,freeze,340.667,341.5,0.833
253,freeze,343.767,344.367,0.6
253,rear,345.133,347.433,2.3
253,freeze,349.267,349.8,0.533
253,freeze,360.933,361.467,0.534
253,freeze,362.067,363.2,1.133
253,freeze,364.633,365.3,0.667
253,freeze,366.6,366.967,0.367
253,freeze,379.533,379.967,0.434
253,freeze,381.9,383.4,1.5
253,rear,385.9,387.5,1.6
253,freeze,391.533,398.1,6.567
253,groom,399.867,400.5,0.633
253,groom,402.667,403.133,0.466
253,freeze,418.067,421.2,3.133
253,freeze,424,425.133,1.133
253,freeze,427.333,429.6,2.267
253,freeze,432.467,436.633,4.166
253,freeze,439.233,441.667,2.434
253,freeze,444.1,444.667,0.567
253,groom,446.5,447.833,1.333
253,freeze,449.7,451.067,1.367
253,freeze,457.9,458.5,0.6
253,freeze,465,468.5,3.5
253,freeze,470.9,472.967,2.067
253,freeze,475.8,477.867,2.067
253,groom,483.5,486.6,3.1
253,rear,490.933,491.967,1.034
253,freeze,493.2,493.567,0.367
253,rear,495.7,496.367,0.667
253,rear,500.067,501.967,1.9
253,rear,504.967,506.667,1.7
253,freeze,508.667,509.367,0.7
253,groom,513.933,515.5,1.567
253,freeze,515.833,516.333,0.5
253,rear,532.667,535.033,2.366
253,freeze,537.4,537.7,0.3
253,stop,540.133,540.133,NA
254,start,697.833,697.833,NA
254,rear,698.533,699.2,0.667
254,freeze,700.7,702.833,2.133
254,groom,704.233,709.367,5.134
254,rear,709.733,710.8,1.067
254,groom,712.567,713.133,0.566
254,rear,716.867,717.4,0.533
254,rear,720.767,721.667,0.9
254,rear,725.167,726.133,0.966
254,rear,729.067,730.367,1.3
254,rear,733.833,734.967,1.134
254,groom,737.1,737.733,0.633
254,rear,744.433,745.6,1.167
254,rear,753.1,753.867,0.767
254,groom,759.233,760.433,1.2
254,groom,762.3,770.6,8.3
254,groom,772.1,777.733,5.633
254,rear,778.4,779.667,1.267
254,rear,789.267,790.3,1.033
254,rear,791.767,793.7,1.933
254,rear,799.467,800.9,1.433
254,rear,801.667,802.667,1
254,rear,803.867,805.9,2.033
254,rear,812.5,813.367,0.867
254,rear,819,820.267,1.267
254,rear,829.7,831.533,1.833
254,rear,833.767,835.233,1.466
254,rear,839.4,840.433,1.033
254,groom,844.633,845.033,0.4
254,freeze,850.967,851.833,0.866
254,freeze,855.433,858,2.567
254,freeze,859.733,863.2,3.467
254,freeze,866.267,869.267,3
254,freeze,870.067,874.533,4.466
254,freeze,876.933,890.2,13.267
254,freeze,892.533,895.367,2.834
254,groom,902.7,905.2,2.5
254,freeze,914.633,916.067,1.434
254,freeze,920.533,921.933,1.4
254,freeze,922.867,929.6,6.733
254,freeze,930.933,935.467,4.534
254,freeze,938.867,941.4,2.533
254,freeze,946.033,949.867,3.834
254,freeze,953.633,958.267,4.634
254,freeze,959.2,963.333,4.133
254,freeze,966.1,970.767,4.667
254,freeze,971.533,982.733,11.2
254,freeze,984.8,995.967,11.167
254,stop,997.833,997.833,NA
255,start,699.433,699.433,NA
255,freeze,702.5,704.6,2.1
255,freeze,710.9,711.3,0.4
255,groom,713.667,714.867,1.2
255,groom,717.4,730.6,13.2
255,freeze,738.1,739.267,1.167
255,freeze,740.2,742.1,1.9
255,freeze,755.233,756.2,0.967
255,freeze,766.067,768.2,2.133
255,freeze,770.7,772.6,1.9
255,freeze,773.233,773.633,0.4
255,freeze,776.267,777.9,1.633
255,freeze,778.867,780.733,1.866
255,freeze,781.967,784.067,2.1
255,freeze,785.033,786.2,1.167
255,freeze,787.5,791.233,3.733
255,freeze,793.6,797.6,4
255,freeze,798.733,803.6,4.867
255,freeze,805.733,811.533,5.8
255,rear,817.367,819.1,1.733
255,freeze,820.1,824.567,4.467
255,freeze,829.2,830.733,1.533
255,freeze,831.533,838.133,6.6
255,freeze,840.133,842.633,2.5
255,freeze,843.8,846.4,2.6
255,freeze,855.867,856.033,0.166
255,freeze,857,862,5
255,freeze,862.833,869.367,6.534
255,freeze,871.6,883.933,12.333
255,freeze,884.833,889.367,4.534
255,freeze,890.933,902.4,11.467
255,freeze,904.533,912.633,8.1
255,freeze,913.233,917.967,4.734
255,freeze,919.8,936.633,16.833
255,freeze,938.733,951.167,12.434
255,freeze,951.733,958.633,6.9
255,freeze,960.6,965.967,5.367
255,freeze,967.733,979.3,11.567
255,freeze,981.233,987.733,6.5
255,freeze,990.2,995.533,5.333
255,stop,999.433,999.433,NA
256,start,2176.067,2176.067,NA
256,groom,2182.233,2183.033,0.8
256,groom,2189.167,2189.967,0.8
256,groom,2197.6,2198.1,0.5
256,groom,2210.067,2211.2,1.133
256,groom,2212.8,2213.433,0.633
256,freeze,2215.8,2216,0.2
256,groom,2217.233,2217.967,0.734
256,freeze,2239.2,2239.833,0.633
256,freeze,2242.433,2242.933,0.5
256,groom,2246.367,2257.567,11.2
256,freeze,2258.3,2258.533,0.233
256,freeze,2260.7,2261.167,0.467
256,freeze,2268.567,2269,0.433
256,freeze,2269.633,2270.9,1.267
256,freeze,2272.267,2272.833,0.566
