ID,Behavior,Start,Stop,Duration
196,start,63.833,63.833,NA
196,rear,65.933,66.333,0.4
196,rear,71.933,72.833,0.9
196,rear,76.9,77.5,0.6
196,rear,80.633,81.267,0.634
196,rear,82.9,83.667,0.767
196,rear,85.5,85.867,0.367
196,rear,87.167,87.667,0.5
196,rear,91.167,92.033,0.866
196,rear,93.1,94.533,1.433
196,rear,96.567,98.8,2.233
196,rear,104.167,105.3,1.133
196,rear,108.6,110.333,1.733
196,rear,112.433,113.333,0.9
196,rear,119.467,120.6,1.133
196,rear,125.667,126.333,0.666
196,rear,129.467,130.133,0.666
196,rear,131,132.2,1.2
196,rear,138.067,139,0.933
196,rear,146.833,148.267,1.434
196,rear,153.1,153.967,0.867
196,rear,156.733,157.6,0.867
196,rear,161.2,162.1,0.9
196,rear,165.933,166.833,0.9
196,rear,170.7,171.967,1.267
196,rear,174.467,175.467,1
196,groom,181.733,182.3,0.567
196,rear,186.833,187.833,1
196,rear,188.333,189.067,0.734
196,rear,193.033,194.5,1.467
196,rear,198.233,199.7,1.467
196,rear,204.033,204.667,0.634
196,rear,207.2,209.4,2.2
196,rear,212.333,212.9,0.567
196,freeze,213.733,214.133,0.4
196,rear,215.9,216.2,0.3
196,freeze,218.333,218.967,0.634
196,groom,222.033,224,1.967
196,rear,225.833,226.6,0.767
196,freeze,227.433,228.033,0.6
196,freeze,230.333,231.633,1.3
196,freeze,232.533,234.3,1.767
196,freeze,235.633,236.433,0.8
196,freeze,237.067,237.933,0.866
196,groom,239.7,242.567,2.867
196,freeze,242.967,244.4,1.433
196,rear,245.833,247.467,1.634
196,rear,251.4,251.9,0.5
196,freeze,253,254.067,1.067
196,groom,254.867,256.933,2.066
196,freeze,257.167,258.267,1.1
196,groom,260.3,260.867,0.567
196,freeze,264.9,266.933,2.033
196,rear,268.667,269.433,0.766
196,freeze,269.867,272.233,2.366
196,groom,273.533,273.9,0.367
196,freeze,276.733,281.867,5.134
196,freeze,282.333,285,2.667
196,freeze,287.367,295.1,7.733
196,freeze,295.6,299.7,4.1
196,rear,301.2,302.633,1.433
196,freeze,307.133,307.6,0.467
196,rear,310.933,312.7,1.767
196,rear,315.9,318.233,2.333
196,freeze,320.933,322.033,1.1
196,groom,332.8,333.267,0.467
196,rear,335.967,337,1.033
196,rear,338.033,339.833,1.8
196,freeze,344.567,347.067,2.5
196,freeze,348.267,351.2,2.933
196,groom,352.867,353.667,0.8
196,freeze,355.7,362.5,6.8
196,stop,363.833,363.833,NA
197,start,64.067,64.067,NA
197,rear,66.767,67.5,0.733
197,rear,70.633,71.133,0.5
197,rear,76.4,76.767,0.367
197,rear,78.467,79.367,0.9
197,rear,82,82.333,0.333
197,rear,85.167,86.033,0.866
197,rear,88.367,89.133,0.766
197,rear,92.333,93.5,1.167
197,rear,95.667,96.3,0.633
197,rear,102.067,102.5,0.433
197,rear,104.833,105.2,0.367
197,rear,110.833,111.233,0.4
197,rear,118.7,119.3,0.6
197,rear,127.433,129.267,1.834
197,freeze,137.067,137.3,0.233
197,freeze,140.133,140.533,0.4
197,groom,143.733,144.7,0.967
197,groom,145.4,146.267,0.867
197,groom,149.3,154.467,5.167
197,groom,157.467,158.8,1.333
197,rear,162.167,162.633,0.466
197,rear,167.567,169.133,1.566
197,rear,178.133,178.767,0.634
197,rear,181.533,182.933,1.4
197,rear,194.1,195.167,1.067
197,rear,199.767,201.267,1.5
197,rear,206.7,207.4,0.7
197,rear,210.4,211.6,1.2
197,rear,217.733,219.8,2.067
197,rear,220.633,221.733,1.1
197,freeze,228.6,229.133,0.533
197,rear,229.533,230.6,1.067
197,rear,248.033,249.033,1
197,freeze,263.133,263.4,0.267
197,rear,265.9,266.767,0.867
197,freeze,270.567,270.833,0.266
197,freeze,273.833,274.067,0.234
197,rear,280.033,281.5,1.467
197,freeze,282.967,283.8,0.833
197,rear,289.333,290.433,1.1
197,freeze,291.867,292.733,0.866
197,freeze,294.967,300.867,5.9
197,freeze,303.1,303.8,0.7
197,groom,304.333,305,0.667
197,freeze,307.933,314.5,6.567
197,freeze,318.567,320.667,2.1
197,freeze,326.167,333.433,7.266
197,freeze,337.633,347,9.367
197,freeze,348.667,358.1,9.433
