ID,Test,Paw,CFA,Expt,VF
399,CFA + 8D,Left,Naive,BA,1.378230677
400,CFA + 8D,Left,Naive,BA,1.027818216
401,CFA + 8D,Left,Naive,BA,0.955313633
402,CFA + 8D,Left,Naive,BA,0.994172783
403,CFA + 8D,Left,CFA,BA,0.995217536
404,CFA + 8D,Left,CFA,BA,1.22171703
405,CFA + 8D,Left,CFA,BA,0.826107085
406,CFA + 8D,Left,CFA,BA,0.834551473
407,CFA + 8D,Left,Naive,BA,1.020005898
408,CFA + 8D,Left,Naive,BA,1.236328949
409,CFA + 8D,Left,Naive,BA,1.079815302
410,CFA + 8D,Left,Naive,BA,1.180535246
411,CFA + 8D,Left,CFA,BA,1.054055945
412,CFA + 8D,Left,CFA,BA,1.251751375
413,CFA + 8D,Left,CFA,BA,1.093959848
414,CFA + 8D,Left,CFA,BA,1.055333826
399,CFA + 8D,Right,Naive,BA,1.055333826
400,CFA + 8D,Right,Naive,BA,1.253029256
401,CFA + 8D,Right,Naive,BA,1.093441963
402,CFA + 8D,Right,Naive,BA,0.955313633
403,CFA + 8D,Right,CFA,BA,1.220439149
404,CFA + 8D,Right,CFA,BA,1.093959848
405,CFA + 8D,Right,CFA,BA,0.894209309
406,CFA + 8D,Right,CFA,BA,0.966962662
407,CFA + 8D,Right,Naive,BA,1.095237729
408,CFA + 8D,Right,Naive,BA,0.894209309
409,CFA + 8D,Right,Naive,BA,1.054055945
410,CFA + 8D,Right,Naive,BA,1.093959848
411,CFA + 8D,Right,CFA,BA,1.093959848
412,CFA + 8D,Right,CFA,BA,1.153019637
413,CFA + 8D,Right,CFA,BA,1.026540336
414,CFA + 8D,Right,CFA,BA,1.220439149
399,BA + 3hrs,Left,Naive,BA,0.829186243
400,BA + 3hrs,Left,Naive,BA,1.253029256
401,BA + 3hrs,Left,Naive,BA,1.015185137
402,BA + 3hrs,Left,Naive,BA,1.274345857
403,BA + 3hrs,Left,CFA,BA,1.236328949
404,BA + 3hrs,Left,CFA,BA,1.088027961
405,BA + 3hrs,Left,CFA,BA,0.894129147
406,BA + 3hrs,Left,CFA,BA,0.818498223
407,BA + 3hrs,Left,Naive,BA,1.220439149
408,BA + 3hrs,Left,Naive,BA,1.054055945
409,BA + 3hrs,Left,Naive,BA,0.829217633
410,BA + 3hrs,Left,Naive,BA,1.15196431
411,BA + 3hrs,Left,CFA,BA,0.961628822
412,BA + 3hrs,Left,CFA,BA,0.761115408
413,BA + 3hrs,Left,CFA,BA,1.274345857
414,BA + 3hrs,Left,CFA,BA,1.251751375
399,BA + 3hrs,Right,Naive,BA,0.916121078
