ID,CFA,Expt,CORT
415,Naive,BA,66.058
415,Naive,BA,80.239
417,Naive,BA,151.1675
417,Naive,BA,227.1675
423,Naive,BA,81.948
423,Naive,BA,318.7045
425,Naive,BA,530.4315
425,Naive,BA,203.1685
419,CFA,BA,185.1235
419,CFA,BA,101.017
421,CFA,BA,512.493
421,CFA,BA,132.4985
427,CFA,BA,355.53
427,CFA,BA,778.5425
429,CFA,BA,767.3465
429,CFA,BA,277.0475
447,Naive,DMSO,254.8345
447,Naive,DMSO,612.495
449,Naive,DMSO,462.2465
449,Naive,DMSO,538.0845
455,Naive,DMSO,472.612
455,Naive,DMSO,853.316
457,Naive,DMSO,1200.368
457,Naive,DMSO,711.812
451,CFA,DMSO,498.781
451,CFA,DMSO,977.1395
453,CFA,DMSO,1505.073
453,CFA,DMSO,286.941
459,CFA,DMSO,957.2605
459,CFA,DMSO,661.926
461,CFA,DMSO,1827.8045
461,CFA,DMSO,1728.9815
