ID,Pain,Stress,Drug,CORT
188,Naive,Homecage,NoINJ,261.9245
189,Naive,Homecage,NoINJ,213.2935
190,Naive,Homecage,NoINJ,396.3785
191,Naive,Homecage,NoINJ,534.545
192,Naive,Homecage,NoINJ,497.6075
193,Naive,Homecage,NoINJ,495.4715
194,Naive,Homecage,NoINJ,520.5375
195,Naive,Homecage,NoINJ,449.264
196,Naive,TMT_30,NoINJ,942.1415
197,Naive,TMT_30,NoINJ,1010.8025
198,Naive,TMT_30,NoINJ,1131.48
199,Naive,TMT_30,NoINJ,1037.102
200,Naive,TMT_30,NoINJ,1067.485
201,Naive,TMT_30,NoINJ,770.815
202,Naive,TMT_30,NoINJ,377.7125
203,Naive,TMT_30,NoINJ,547.7935
204,CFA,Homecage,NoINJ,519.4965
205,CFA,Homecage,NoINJ,474.7255
206,CFA,Homecage,NoINJ,499.829
207,CFA,Homecage,NoINJ,448.297
208,CFA,Homecage,NoINJ,377.7125
209,CFA,Homecage,NoINJ,547.7935
210,CFA,Homecage,NoINJ,660.0995
211,CFA,Homecage,NoINJ,833.0035
212,CFA,TMT_30,NoINJ,1636.2515
213,CFA,TMT_30,NoINJ,1412.0935
214,CFA,TMT_30,NoINJ,1145.22
215,CFA,TMT_30,NoINJ,1027.3935
216,CFA,TMT_30,NoINJ,1987.714
217,CFA,TMT_30,NoINJ,1566.4735
218,CFA,TMT_30,NoINJ,1205.6865
219,CFA,TMT_30,NoINJ,1354.009
220,Naive,TMT_30,HC30031,566.996
221,Naive,TMT_30,HC30031,493.4335
222,Naive,TMT_30,HC30031,260.4425
223,Naive,TMT_30,HC30031,382.368
224,Naive,TMT_30,HC30031,833.563
225,Naive,TMT_30,HC30031,570.646
226,Naive,TMT_30,HC30031,1158.608
227,Naive,TMT_30,HC30031,918.064
228,CFA,TMT_30,HC30031,451.0325
229,CFA,TMT_30,HC30031,266.019
230,CFA,TMT_30,HC30031,263.4165
231,CFA,TMT_30,HC30031,900.846
232,CFA,TMT_30,HC30031,195.118
233,CFA,TMT_30,HC30031,1081.6565
234,CFA,TMT_30,HC30031,919.248
235,CFA,TMT_30,HC30031,996.241
