ID,Behavior,Start,Stop,Duration
76,start,31.933,31.933,NA
76,shake,41.633,41.8,0.167
76,forepaw,42.667,43.767,1.1
76,shake,44.067,44.233,0.166
76,forepaw,45.5,46.967,1.467
76,shake,47,47.167,0.167
76,forepaw,47.733,49.133,1.4
76,hindpaw,49.367,50,0.633
76,forepaw,50.233,52.867,2.634
76,shake,53.1,53.3,0.2
76,shake,53.533,53.667,0.134
76,hindpaw,53.967,54.767,0.8
76,shake,54.867,55.167,0.3
76,hindpaw,55.4,56.7,1.3
76,forepaw,57.567,59.067,1.5
76,shake,59.067,59.433,0.366
76,forepaw,59.6,60.433,0.833
76,shake,60.433,60.7,0.267
76,forepaw,61.4,62.3,0.9
76,shake,62.367,62.667,0.3
76,hindpaw,63.067,63.667,0.6
76,shake,63.9,64.133,0.233
76,forepaw,64.233,64.933,0.7
76,hindpaw,65.033,65.867,0.834
76,rearing,66.533,67.3,0.767
76,shake,67.6,67.8,0.2
76,hindpaw,69.133,69.5,0.367
76,forepaw,70.033,72.2,2.167
76,shake,72.267,72.533,0.266
76,hindpaw,72.867,73.367,0.5
76,hindpaw,73.667,76.933,3.266
76,stop,76.933,76.933,NA
77,start,15.733,15.733,NA
77,forepaw,24.033,25.867,1.834
77,forepaw,27.667,28.6,0.933
77,shake,29.633,29.8,0.167
77,shake,32.467,32.7,0.233
77,shake,33.767,33.933,0.166
77,forepaw,35.8,36.867,1.067
77,shake,37.2,37.433,0.233
77,shake,38.733,38.967,0.234
77,shake,39.767,39.9,0.133
77,forepaw,40.1,40.5,0.4
77,shake,42.633,42.867,0.234
77,hindpaw,43.133,43.933,0.8
77,shake,43.967,44.167,0.2
77,forepaw,45.3,48.567,3.267
77,hindpaw,48.567,53.067,4.5
77,hindpaw,54.167,56.333,2.166
77,forepaw,56.867,58.167,1.3
77,rearing,58.233,58.967,0.734
77,shake,59,59.233,0.233
77,stop,60.733,60.733,NA
79,start,22.933,22.933,NA
79,shake,30,30.2,0.2
