ID,Test,Paw,CFA,Expt,VF
431,CFA + 8D,Left,Naive,DMSO,0.894804477
432,CFA + 8D,Left,Naive,DMSO,1.012397036
433,CFA + 8D,Left,Naive,DMSO,1.016343704
434,CFA + 8D,Left,Naive,DMSO,0.815910452
435,CFA + 8D,Left,CFA,DMSO,1.153497362
436,CFA + 8D,Left,CFA,DMSO,1.378708401
437,CFA + 8D,Left,CFA,DMSO,1.459043243
438,CFA + 8D,Left,CFA,DMSO,1.253029256
439,CFA + 8D,Left,Naive,DMSO,1.11783221
440,CFA + 8D,Left,Naive,DMSO,1.220439149
441,CFA + 8D,Left,Naive,DMSO,0.76119557
442,CFA + 8D,Left,Naive,DMSO,0.962906702
443,CFA + 8D,Left,CFA,DMSO,1.119340187
444,CFA + 8D,Left,CFA,DMSO,1.184331863
445,CFA + 8D,Left,CFA,DMSO,0.853622694
446,CFA + 8D,Left,CFA,DMSO,1.076650426
431,CFA + 8D,Right,Naive,DMSO,0.893526597
432,CFA + 8D,Right,Naive,DMSO,0.793739532
433,CFA + 8D,Right,Naive,DMSO,0.96154866
434,CFA + 8D,Right,Naive,DMSO,0.542245265
435,CFA + 8D,Right,CFA,DMSO,0.995217536
436,CFA + 8D,Right,CFA,DMSO,0.81047764
437,CFA + 8D,Right,CFA,DMSO,0.946126233
438,CFA + 8D,Right,CFA,DMSO,1.051318124
439,CFA + 8D,Right,Naive,DMSO,1.051318124
440,CFA + 8D,Right,Naive,DMSO,1.020005898
441,CFA + 8D,Right,Naive,DMSO,0.984223303
442,CFA + 8D,Right,Naive,DMSO,0.916121078
443,CFA + 8D,Right,CFA,DMSO,0.842182386
444,CFA + 8D,Right,CFA,DMSO,0.976439801
445,CFA + 8D,Right,CFA,DMSO,1.274345857
446,CFA + 8D,Right,CFA,DMSO,1.043709262
431,TMT + 3hrs,Left,Naive,DMSO,0.276464501
432,TMT + 3hrs,Left,Naive,DMSO,0.534731329
