ID,Condition,BL_L,BL_R,TMT_3_L,TMT_3_R,TMT_24_L,TMT_24_R,TMT_3D_L,TMT_3D_R,TMT_7D_L,TMT_7D_R
236,Naive,1.016340349,1.193599851,1.124387726,0.947142373,0.883156066,0.843433335,1.088828378,1.065583962,1.12651582,0.88832446
237,Naive,1.268326405,1.084953888,0.851533564,0.628845619,0.807748734,0.880236762,0.980182414,1.193599851,0.980182414,1.016340349
238,Naive,0.810025619,0.922190557,0.874750543,0.691211169,1.010227334,1.168454564,0.931227677,0.986295429,0.913807401,1.154432646
239,Naive,1.169399186,0.81051186,0.773720964,0.987285121,0.659902192,0.878104411,0.960812488,1.332029803,0.990857408,1.266425534
240,Naive,1.296470454,1.163554932,0.594177355,0.418658731,0.575456448,0.705654461,0.986295429,0.980637359,0.980182414,0.882211444
241,Naive,0.986295429,1.193599851,1.169399186,0.984478012,1.18782449,1.118873297,0.972625315,1.075158263,0.785028918,1.193937506
242,Naive,0.905203629,1.193937506,0.744203047,1.016196708,0.948604157,1.163554932,0.88832446,0.839191194,0.922190557,0.882211444
243,Naive,1.163554932,1.18782449,0.435769508,0.523810115,1.371197008,1.193599851,0.852478186,0.810025619,0.784542678,1.023645217
244,CFA,0.986295429,1.084953888,0.418658731,0.86378614,0.45989468,0.451569928,0.434045671,0.532134867,0.521650214,0.309709366
245,CFA,1.016340349,1.149884817,0.773067388,0.7854873,0.586427116,0.372291764,0.46360589,0.545388321,0.637387566,0.384706786
246,CFA,1.296470454,1.045113343,0.960812488,0.761273043,0.466360147,0.367385619,0.570324945,0.593215103,0.53972752,0.44409426
247,CFA,1.088828378,1.091066903,0.628845619,0.633362705,0.740327048,0.470528565,0.435190296,0.567023524,0.632876464,0.783210415
248,CFA,1.118873297,1.193599851,1.023645217,0.869329773,0.313553254,0.462108321,0.582089592,0.630599579,0.594177355,0.590917986
249,CFA,1.12651582,0.8402727,0.96175711,0.686165038,0.265242385,0.376922412,0.567023524,0.478853317,0.824400976,0.74975346
250,CFA,1.118873297,1.045113343,0.948604157,0.948586012,0.60845798,0.420118546,0.512236808,0.395881049,0.575856684,0.412193265
251,CFA,1.005954231,0.96175711,0.889269082,0.559016991,0.581921914,0.282300329,0.659902192,0.489749219,0.648594238,0.704453193
