Timepoint,ID,Seconds,Perc
Baseline,220,7.53,2.51
Baseline,221,6.09,2.03
Baseline,222,8.2,2.733333333
Baseline,223,6.65,2.216666667
Baseline,228,8.98,2.993333333
Baseline,229,3.72,1.24
Baseline,230,0.93,0.31
Baseline,231,4.92,1.64
Baseline,224,1.78,0.593333333
Baseline,225,11.23,3.743333333
Baseline,226,8.29,2.763333333
Baseline,227,2.53,0.843333333
Baseline,232,8.95,2.983333333
Baseline,233,6.63,2.21
Baseline,234,9.27,3.09
Baseline,235,3.43,1.143333333
Baseline,236,6.22,2.073333333
Baseline,237,3.73,1.243333333
Baseline,238,3.11,1.036666667
Baseline,239,11.23,3.743333333
Baseline,244,5.63,1.876666667
Baseline,245,6.23,2.076666667
Baseline,246,2.45,0.816666667
Baseline,247,9.37,3.123333333
Baseline,240,9.43,3.143333333
Baseline,241,6.96,2.32
Baseline,242,1.54,0.513333333
Baseline,243,9.85,3.283333333
Baseline,248,11.66,3.886666667
Baseline,249,12.61,4.203333333
Baseline,250,2.55,0.85
Baseline,251,12.4,4.133333333
