ID,Behavior,Start,Stop,Duration
220,start,236.667,236.667,NA
220,groom,243.7,244.033,0.333
220,freeze,249.533,249.667,0.134
220,rear,250.467,250.733,0.266
220,groom,251.267,251.433,0.166
220,groom,252.667,254.267,1.6
220,groom,258.5,260,1.5
220,groom,261.767,268.933,7.166
220,rear,270.9,271.333,0.433
220,groom,272.233,272.833,0.6
220,rear,275.2,276.3,1.1
220,rear,283.233,284.233,1
220,rear,289,290.667,1.667
220,groom,303.733,304.167,0.434
220,rear,314,315.367,1.367
220,groom,317.667,318.133,0.466
220,rear,322.967,323.533,0.566
220,groom,325.233,325.567,0.334
220,rear,345.267,346.5,1.233
220,freeze,347.533,348.167,0.634
220,rear,351.433,353.233,1.8
220,rear,357.533,358.533,1
220,freeze,360.8,361.067,0.267
220,freeze,362.667,363.7,1.033
220,freeze,365.367,366.033,0.666
220,rear,370.667,373.4,2.733
220,rear,377.8,378.367,0.567
220,freeze,379.933,381,1.067
220,freeze,381.733,382.8,1.067
220,freeze,383.167,383.5,0.333
220,rear,387.033,387.8,0.767
220,freeze,388.7,389.6,0.9
220,freeze,391.633,392.7,1.067
220,freeze,397.7,398.167,0.467
220,rear,406.067,407.667,1.6
220,freeze,412.4,413.867,1.467
220,freeze,416.033,417.933,1.9
220,freeze,421.233,423.567,2.334
220,freeze,426.6,427.267,0.667
220,freeze,427.867,429.333,1.466
220,rear,432.533,433.067,0.534
220,rear,433.7,434.7,1
220,freeze,436.067,438.567,2.5
220,freeze,442.233,442.667,0.434
220,freeze,443.733,444.367,0.634
220,freeze,448.2,452.367,4.167
220,groom,456.1,457.333,1.233
220,freeze,457.8,459.8,2
220,groom,460.867,462.1,1.233
220,freeze,462.433,466.5,4.067
220,groom,469.6,470.367,0.767
220,freeze,470.667,472.533,1.866
220,freeze,475.2,477.6,2.4
220,groom,479.233,479.567,0.334
220,freeze,479.933,481.767,1.834
220,groom,482.633,482.967,0.334
220,rear,483.533,484.867,1.334
220,freeze,485.167,487.433,2.266
220,freeze,491.233,493.4,2.167
220,freeze,495.033,495.567,0.534
220,freeze,496.2,499.967,3.767
220,freeze,503.033,506.833,3.8
220,groom,508.133,508.6,0.467
220,freeze,508.933,512.433,3.5
220,groom,515.333,515.833,0.5
220,freeze,517.633,517.933,0.3
220,freeze,518.567,520.433,1.866
220,rear,524.167,526.967,2.8
220,groom,527.667,528.067,0.4
220,freeze,528.867,529.333,0.466
220,rear,531.433,533.133,1.7
220,groom,534.067,534.5,0.433
220,freeze,535,537.3,2.3
220,stop,536.4,536.4,NA
221,start,236.633,236.633,NA
221,groom,237.433,238.567,1.134
221,rear,242,243.167,1.167
221,groom,247.267,254.3,7.033
221,rear,256.733,258.1,1.367
221,rear,262.133,262.733,0.6
221,groom,263.5,264.1,0.6
221,rear,265.833,267.533,1.7
221,groom,268.2,269.333,1.133
221,rear,272.567,273.833,1.266
221,groom,275.4,275.633,0.233
221,groom,277,277.933,0.933
221,groom,278.767,279.833,1.066
221,rear,281.3,282.7,1.4
221,rear,291.667,293.2,1.533
221,freeze,297.133,298.167,1.034
221,rear,299.5,300.067,0.567
221,groom,300.433,302.233,1.8
221,groom,305.2,306.633,1.433
221,rear,314.033,315,0.967
221,groom,316.3,322.5,6.2
221,rear,331.533,332.967,1.434
221,groom,336.633,338.567,1.934
221,rear,343.1,343.567,0.467
221,rear,345.167,346.333,1.166
221,groom,350.2,352.3,2.1
221,freeze,352.667,352.933,0.266
221,groom,354.7,356.867,2.167
221,rear,358.367,360.7,2.333
221,rear,366.067,367.767,1.7
221,rear,373.667,374.767,1.1
221,freeze,375.767,376.167,0.4
221,rear,377.7,377.9,0.2
221,rear,378.667,380.367,1.7
221,freeze,381.667,381.933,0.266
221,freeze,382.7,383.167,0.467
221,freeze,384.2,385.5,1.3
221,rear,386.467,387.733,1.266
221,groom,388,389.733,1.733
221,rear,391.733,394.833,3.1
221,freeze,396.9,399.6,2.7
221,rear,401.067,401.833,0.766
221,freeze,402.567,404.367,1.8
221,rear,405.6,406.467,0.867
221,freeze,409.267,409.667,0.4
221,groom,411.733,412.367,0.634
221,rear,412.7,413.133,0.433
221,rear,415.733,417.267,1.534
221,rear,421.8,422.6,0.8
221,freeze,423.567,424.267,0.7
221,rear,427.033,428.1,1.067
221,rear,429.2,429.933,0.733
221,freeze,431.433,433.467,2.034
221,groom,436.2,437.967,1.767
221,rear,438.633,439.167,0.534
221,freeze,439.733,440.5,0.767
221,freeze,443.533,444.4,0.867
221,freeze,445.2,446.2,1
221,rear,446.8,447.367,0.567
221,groom,448.533,451.667,3.134
221,freeze,453.067,453.7,0.633
221,freeze,454.967,458.467,3.5
221,rear,459.767,460.767,1
221,rear,461.467,463.367,1.9
221,groom,464.433,466.733,2.3
221,freeze,468,468.967,0.967
221,freeze,471.5,471.9,0.4
221,groom,473.1,479.9,6.8
221,rear,480.833,481.2,0.367
221,groom,481.733,485.633,3.9
221,freeze,486.3,487.267,0.967
221,groom,487.667,489.033,1.366
221,freeze,493.867,496.067,2.2
221,groom,496.767,497.4,0.633
221,freeze,498.367,500.733,2.366
