ID,Behavior,Start,Stop,Duration
268,start,27.661,27.661,NA
268,jump,34.735,35.135,0.4
268,jump,39.606,40.107,0.501
268,jump,42.91,43.41,0.5
268,jump,45.112,45.612,0.5
268,jump,48.448,48.916,0.468
268,jump,51.218,51.685,0.467
268,jump,52.886,53.42,0.534
268,jump,55.489,55.989,0.5
268,jump,57.391,57.925,0.534
268,jump,59.493,60.027,0.534
268,jump,61.461,61.962,0.501
268,jump,63.564,64.064,0.5
268,forepaw,65.432,66.934,1.502
268,jump,67.367,67.835,0.468
268,jump,69.136,69.636,0.5
268,jump,71.038,71.538,0.5
268,stop,72.673,72.673,NA
269,start,33.07,33.07,NA
269,forepaw,40.11,40.511,0.401
269,looking to escape,40.511,41.378,0.867
269,shake/flick,42.946,43.18,0.234
269,forepaw,45.249,45.616,0.367
269,shake/flick,45.846,46.013,0.167
269,forepaw,46.116,47.217,1.101
269,shake/flick,47.484,47.651,0.167
269,forepaw,48.385,49.086,0.701
269,hindpaw,49.786,50.254,0.468
269,forepaw,51.822,52.418,0.596
269,looking to escape,52.419,53.219,0.8
269,forepaw,52.422,53.22,0.798
269,forepaw,53.754,54.587,0.833
269,hindpaw,54.588,54.922,0.334
269,shake/flick,54.922,55.355,0.433
269,forepaw,56.857,59.459,2.602
269,hindpaw,59.626,59.993,0.367
269,hindpaw,61.261,62.062,0.801
269,shake/flick,62.896,63.163,0.267
269,forepaw,63.33,64.698,1.368
269,shake/flick,64.865,65.065,0.2
269,shake/flick,67.568,67.801,0.233
269,forepaw,67.935,68.569,0.634
269,attending to paw,68.569,69.67,1.101
269,shake/flick,70.037,70.337,0.3
269,shake/flick,70.571,70.737,0.166
269,looking to escape,72.806,74.408,1.602
269,shake/flick,76.276,76.543,0.267
269,hindpaw,77.344,77.611,0.267
269,stop,78.078,78.078,NA
270,start,29.696,29.696,NA
270,jump,35.169,35.602,0.433
270,jump,36.77,37.204,0.434
270,shake/flick,40.974,41.408,0.434
270,forepaw,42.776,43.443,0.667
270,looking to escape,44.344,45.345,1.001
270,shake/flick,45.546,45.679,0.133
270,jump,45.879,46.38,0.501
270,forepaw,46.914,48.682,1.768
270,shake/flick,51.018,51.385,0.367
270,forepaw,51.885,52.819,0.934
270,looking to escape,52.886,53.353,0.467
270,shake/flick,53.587,53.687,0.1
270,jump,54.021,54.488,0.467
270,shake/flick,54.621,54.922,0.301
270,hindpaw,55.155,56.59,1.435
270,forepaw,57.357,57.925,0.568
270,shake/flick,59.026,59.259,0.233
270,hindpaw,60.093,60.594,0.501
270,forepaw,61.195,62.663,1.468
270,hindpaw,62.863,63.797,0.934
270,shake/flick,64.298,64.631,0.333
270,hindpaw,64.898,68.969,4.071
270,forepaw,69.236,70.637,1.401
270,shake/flick,70.904,71.138,0.234
270,hindpaw,71.205,74.708,3.503
270,stop,74.708,74.708,NA
271,start,29.396,29.396,NA
271,looking to escape,30.898,31.798,0.9
271,looking to escape,33.1,34.268,1.168
271,jump,35.469,36.036,0.567
271,jump,39.473,40.14,0.667
271,jump,40.574,41.074,0.5
271,hindpaw,41.575,42.309,0.734
271,jump,44.278,44.778,0.5
271,shake/flick,47.848,48.081,0.233
271,hindpaw,48.348,48.615,0.267
271,shake/flick,48.749,48.916,0.167
271,jump,49.85,50.417,0.567
271,forepaw,50.817,51.451,0.634
271,looking to escape,51.451,51.752,0.301
271,jump,51.752,52.519,0.767
271,forepaw,52.753,53.287,0.534
271,jump,53.654,54.188,0.534
271,forepaw,54.521,55.222,0.701
271,jump,55.789,56.29,0.501
271,looking to escape,58.725,59.459,0.734
271,shake/flick,59.56,59.726,0.166
271,jump,61.161,61.695,0.534
271,forepaw,62.129,62.829,0.7
271,jump,63.864,64.464,0.6
271,shake/flick,67.534,67.768,0.234
271,shake/flick,69.536,69.703,0.167
271,jump,69.97,70.537,0.567
271,forepaw,72.639,73.507,0.868
271,jump,73.941,74.408,0.467
271,stop,74.408,74.408,NA
272,start,59.026,59.026,NA
272,forepaw,69.136,70.237,1.101
272,forepaw,72.506,72.906,0.4
272,looking to escape,72.906,74.474,1.568
272,shake/flick,76.21,76.41,0.2
272,forepaw,77.244,78.645,1.401
272,shake/flick,79.079,79.279,0.2
272,forepaw,81.915,82.416,0.501
272,looking to escape,82.415,84.418,2.003
272,shake/flick,87.988,88.155,0.167
272,forepaw,88.488,89.69,1.202
272,shake/flick,90.424,90.624,0.2
272,forepaw,92.459,93.093,0.634
272,shake/flick,94.094,94.294,0.2
272,looking to escape,96.997,99.533,2.536
272,forepaw,102.936,104.037,1.101
272,stop,104.037,104.037,NA
273,start,27.661,27.661,NA
273,looking to escape,31.965,34.835,2.87
273,looking to escape,35.302,37.104,1.802
273,jump,37.571,38.071,0.5
273,forepaw,38.505,38.772,0.267
273,looking to escape,38.772,39.773,1.001
273,shake/flick,40.107,40.307,0.2
273,jump,40.574,41.074,0.5
273,jump,43.243,43.844,0.601
273,jump,45.579,46.079,0.5
273,jump,47.514,48.148,0.634
273,jump,49.783,50.484,0.701
273,forepaw,50.851,51.585,0.734
273,jump,51.685,52.352,0.667
273,jump,54.354,54.922,0.568
273,jump,56.757,57.324,0.567
273,jump,58.926,59.56,0.634
273,jump,61.028,61.628,0.6
273,jump,63.363,63.964,0.601
273,shake/flick,65.732,65.799,0.067
273,jump,65.933,66.466,0.533
273,jump,67.968,68.535,0.567
273,looking to escape,68.802,70.069,1.267
273,jump,70.07,70.637,0.567
273,jump,72.072,72.673,0.601
273,stop,72.673,72.673,NA
274,start,22.002,22.002,NA
274,looking to escape,31.845,32.646,0.801
274,forepaw,33.4,33.534,0.134
274,forepaw,33.8,34.268,0.468
274,forepaw,35.536,35.636,0.1
274,attending to paw,36.95,37.517,0.567
274,looking to escape,37.518,38.919,1.401
274,shake/flick,39.119,39.353,0.234
274,forepaw,39.486,39.853,0.367
274,looking to escape,42.322,42.99,0.668
274,shake/flick,43.524,43.69,0.166
274,forepaw,43.924,44.324,0.4
274,shake/flick,47.127,47.494,0.367
274,looking to escape,48.195,48.828,0.633
274,jump,48.829,49.229,0.4
274,forepaw,50.764,51.765,1.001
274,jump,52.633,53.333,0.7
274,hindpaw,54.334,54.601,0.267
274,shake/flick,54.768,55.035,0.267
274,looking to escape,55.269,55.801,0.532
274,forepaw,55.802,55.988,0.186
274,looking to escape,55.989,57.925,1.936
274,forepaw,58.559,59.159,0.6
274,jump,60.16,60.661,0.501
274,attending to paw,63.363,65.364,2.001
274,jump,65.365,65.866,0.501
274,shake/flick,66.266,66.5,0.234
274,stop,67.034,67.034,NA
275,start,34.902,34.902,NA
275,shake/flick,35.435,35.569,0.134
275,forepaw,39.54,41.008,1.468
275,shake/flick,42.009,42.176,0.167
275,shake/flick,42.91,43.143,0.233
275,shake/flick,43.31,43.477,0.167
275,forepaw,45.646,47.247,1.601
275,shake/flick,47.748,47.948,0.2
275,looking to escape,48.148,49.616,1.468
275,shake/flick,50.217,50.417,0.2
275,forepaw,50.717,51.218,0.501
275,shake/flick,51.251,51.718,0.467
275,looking to escape,51.718,52.92,1.202
275,shake/flick,52.92,53.153,0.233
275,shake/flick,55.889,56.089,0.2
275,shake/flick,56.49,56.723,0.233
275,forepaw,59.193,60.26,1.067
275,looking to escape,60.26,60.661,0.401
275,hindpaw,60.994,61.795,0.801
275,shake/flick,61.929,62.095,0.166
275,forepaw,62.529,64.164,1.635
275,shake/flick,64.164,64.364,0.2
275,forepaw,64.364,66.099,1.735
