ID,Cage,CFA,Drug
268,1,0,0
269,1,0,0
270,1,0,0
271,1,0,0
272,2,0,1
273,2,0,1
274,2,0,1
275,2,0,1
276,3,1,0
277,3,1,0
278,3,1,0
279,3,1,0
280,4,1,1
281,4,1,1
282,4,1,1
283,4,1,1
284,5,0,0
285,5,0,0
286,5,0,0
287,5,0,0
288,6,0,1
289,6,0,1
290,6,0,1
291,6,0,1
292,7,1,0
293,7,1,0
294,7,1,0
295,7,1,0
296,8,1,1
297,8,1,1
298,8,1,1
299,8,1,1
300,9,0,0
301,9,0,0
302,9,0,0
303,9,0,0
304,10,0,1
305,10,0,1
306,10,0,1
307,10,0,1
308,11,1,0
309,11,1,0
310,11,1,0
311,11,1,0
312,12,1,1
313,12,1,1
314,12,1,1
315,12,1,1
