ID,Condition,BL_L,BL_R,L_30,R_30,L_2mg,R_2mg,L_20mg,R_20mg,L_DF,R_DF
76,Naive,1.193599851,1.193599851,1.088828378,1.088828378,1.252755419,1.252755419,1.149884817,1.031443228,0.913807401,1.268326405
77,Naive,1.108824834,1.118873297,1.118873297,1.118873297,1.193599851,1.296470454,1.193937506,1.252755419,0.99180203,1.296470454
78,Naive,0.882999888,1.193937506,1.268326405,1.268326405,0.803211788,0.889269082,1.296470454,0.905203629,,
79,Naive,1.065583962,1.149884817,1.252755419,1.252755419,0.948086995,1.252755419,0.66923656,0.880236762,0.712119927,0.783210415
80,Naive,1.045786682,0.99180203,0.706730078,0.706730078,1.268326405,1.091066903,1.296470454,1.091066903,0.99180203,1.168454564
81,Naive,1.118873297,1.016340349,1.016340349,1.016340349,1.371197008,1.296470454,1.332029803,1.118873297,,
82,Naive,0.948086995,1.118873297,0.864730763,0.864730763,1.110717612,0.965515238,1.193599851,1.010227334,1.149884817,1.075158263
83,Naive,0.986295429,1.371197008,1.066528584,1.066528584,0.706243837,0.820902774,0.783210415,0.742603933,1.296470454,1.016340349
84,CFA,1.154432646,1.045786682,0.418798244,0.418798244,0.384706786,0.415087034,0.7854873,0.632876464,0.418798244,0.451569928
85,CFA,1.296470454,1.193937506,0.373211202,0.373211202,0.309709366,0.276851474,0.646266987,0.742603933,0.395881049,0.345752561
86,CFA,1.154432646,0.99180203,0.403868513,0.403868513,0.342041351,0.361121991,0.61802636,0.874750543,0.271495948,0.345752561
87,CFA,0.871991395,1.010227334,0.400507207,0.400507207,0.403868513,0.325509787,0.46360589,0.648594238,0.309709366,0.500444138
88,CFA,1.118873297,1.075158263,0.542904243,0.542904243,0.618086246,0.783210415,1.058783458,1.084821173,0.373211202,0.618970983
89,CFA,1.371197008,1.016340349,0.451569928,0.451569928,0.593215103,0.783210415,0.842947094,0.706243837,0.539471695,0.414281538
90,CFA,1.055363913,1.268326405,0.345752561,0.345752561,0.376922412,0.523810115,0.742603933,0.948604157,0.481410595,0.400507207
91,CFA,0.984478012,1.108824834,0.313068677,0.313068677,0.352805791,0.345752561,0.820902774,0.581603351,0.420400077,0.529928655
