ID,Behavior,Start,Stop,Duration
1,start,81.533,81.533,NA
1,rear,88.533,89.567,1.034
1,groom,91.433,91.733,0.3
1,groom,99.8,100.267,0.467
1,rear,104,104.7,0.7
1,rear,106.5,107.2,0.7
1,rear,116.733,117.433,0.7
1,freeze,124.8,125.033,0.233
1,groom,134.7,135.1,0.4
1,freeze,143.567,144,0.433
1,groom,146.133,146.733,0.6
1,rear,154.133,154.9,0.767
1,rear,158.633,159.567,0.934
1,groom,161.767,169,7.233
1,groom,169.767,170.9,1.133
1,rear,174.633,175.4,0.767
1,rear,182.3,183.267,0.967
1,freeze,185.9,186.5,0.6
1,freeze,187.333,187.667,0.334
1,rear,195.533,196.167,0.634
1,rear,198.7,199.233,0.533
1,rear,205.033,205.733,0.7
1,rear,209.333,209.9,0.567
1,freeze,217.7,218.433,0.733
1,freeze,219.167,219.467,0.3
1,freeze,220.633,222,1.367
1,freeze,224.167,224.767,0.6
1,freeze,227.633,228.767,1.134
1,freeze,229.9,231.567,1.667
1,freeze,234.167,235.267,1.1
1,rear,236.333,237.9,1.567
1,freeze,239.567,240.767,1.2
1,freeze,246.133,248.167,2.034
1,freeze,249.333,249.967,0.634
1,freeze,253.733,255.4,1.667
1,freeze,256.333,258.7,2.367
1,groom,262.233,263.433,1.2
1,groom,266.367,267.967,1.6
1,rear,281.667,282.6,0.933
1,freeze,283.3,283.767,0.467
1,rear,286.8,288.367,1.567
1,freeze,296.133,297.1,0.967
1,freeze,298.667,299.167,0.5
1,freeze,302.8,304.2,1.4
1,rear,304.633,306.2,1.567
1,freeze,309,309.5,0.5
1,freeze,313.467,314.6,1.133
1,freeze,315.867,316.6,0.733
1,freeze,319.833,320.767,0.934
1,freeze,324.2,325.5,1.3
1,freeze,326.967,327.7,0.733
1,freeze,329.833,330.967,1.134
1,freeze,334.767,335.4,0.633
1,freeze,339.867,340.8,0.933
1,freeze,342.533,343.7,1.167
1,freeze,347.2,348.4,1.2
1,freeze,351.267,353.6,2.333
1,freeze,356.167,358.467,2.3
1,freeze,360.733,362.433,1.7
1,freeze,363.733,365.5,1.767
1,rear,367.533,369.3,1.767
1,freeze,370.4,373.5,3.1
1,freeze,375.933,380.567,4.634
1,stop,381.867,381.867,NA
2,start,81.767,81.767,NA
2,rear,88.133,88.833,0.7
2,groom,101.467,102.8,1.333
2,freeze,122.567,122.833,0.266
