ID,Behavior,Start,Stop,Duration
172,start,155.5,155.5,NA
172,rear,159.4,159.9,0.5
172,rear,165.533,166.267,0.734
172,rear,170.6,171.233,0.633
172,rear,174.933,176.367,1.434
172,rear,181.467,181.933,0.466
172,rear,184.4,185.167,0.767
172,rear,188.8,191.333,2.533
172,rear,196.6,197.2,0.6
172,rear,197.833,198.333,0.5
172,groom,199.567,201.033,1.466
172,groom,207.467,214.5,7.033
172,rear,227.133,228.367,1.234
172,rear,229.733,230.333,0.6
172,rear,233.767,234.567,0.8
172,rear,237.467,238.933,1.466
172,rear,242.467,242.9,0.433
172,rear,244.667,247.1,2.433
172,rear,255.5,256.433,0.933
172,rear,258.333,263.033,4.7
172,rear,265.7,266.667,0.967
172,rear,267.3,268.9,1.6
172,rear,269.867,270.967,1.1
172,rear,277.7,278.533,0.833
172,rear,283.2,283.767,0.567
172,rear,285.867,288.9,3.033
172,rear,296.8,297.833,1.033
172,freeze,301.2,301.633,0.433
172,rear,303.8,304.567,0.767
172,rear,307.133,307.633,0.5
172,rear,309.5,310.5,1
172,rear,311,311.733,0.733
172,freeze,312.333,313,0.667
172,rear,318.967,320.333,1.366
172,groom,323.133,323.5,0.367
172,rear,328.833,329.567,0.734
172,rear,332.8,334.7,1.9
172,rear,337.833,339.967,2.134
172,rear,343.933,344.233,0.3
172,groom,346.433,346.767,0.334
172,rear,349.2,351.233,2.033
172,rear,356.5,357.733,1.233
172,rear,362.133,364.533,2.4
172,rear,371.567,372.933,1.366
172,rear,379.933,380.867,0.934
172,rear,381.7,382.167,0.467
172,rear,387.9,388.367,0.467
172,rear,389.2,392.833,3.633
172,rear,397.9,400.3,2.4
172,rear,403.9,404.4,0.5
172,rear,415.867,416.2,0.333
172,rear,421.833,423.233,1.4
172,groom,432.233,432.533,0.3
172,rear,434.167,434.867,0.7
172,rear,441.233,442.5,1.267
172,groom,447.133,448.4,1.267
172,freeze,450.467,451.267,0.8
172,stop,455.333,455.333,NA
173,start,155.367,155.367,NA
173,rear,158.333,159.133,0.8
173,rear,163.067,163.467,0.4
173,rear,177,178.633,1.633
173,rear,184.267,184.933,0.666
173,rear,190.933,192.3,1.367
173,rear,195.267,196.733,1.466
173,rear,199.933,201.333,1.4
173,rear,210.467,211.033,0.566
173,rear,224.233,225.4,1.167
173,rear,230.6,230.967,0.367
173,rear,233.533,234.133,0.6
173,rear,238.4,239.933,1.533
173,groom,243.433,247.167,3.734
173,rear,253.6,254.967,1.367
173,freeze,256.433,256.767,0.334
173,rear,262.6,263.733,1.133
173,rear,269.333,270.967,1.634
173,rear,278.9,279.867,0.967
173,rear,283.933,284.933,1
173,rear,286.2,286.933,0.733
173,rear,290.267,291.033,0.766
173,rear,306.4,307.9,1.5
173,freeze,312.1,312.867,0.767
173,rear,318.733,319.8,1.067
173,rear,331.967,332.767,0.8
173,freeze,335.9,336.233,0.333
173,rear,339.9,340.4,0.5
173,rear,344.1,344.5,0.4
173,rear,347.2,348.3,1.1
173,rear,351.6,352.8,1.2
173,rear,356.767,358.533,1.766
173,rear,364.467,365.933,1.466
173,freeze,367.3,367.9,0.6
173,rear,379.6,380.4,0.8
173,rear,388.367,388.833,0.466
173,freeze,389.567,390.333,0.766
173,freeze,404.7,404.9,0.2
173,rear,405.633,407.8,2.167
173,rear,412.9,413.767,0.867
173,rear,415.7,417.933,2.233
173,rear,421.933,422.833,0.9
173,rear,428.367,428.867,0.5
173,freeze,429.7,430.967,1.267
173,rear,434.467,435.4,0.933
173,rear,444.833,446.167,1.334
173,stop,455.533,455.533,NA
174,start,629.633,629.633,NA
