ID,Condition,BL_L,BL_R,L_3hrs,R_3hrs,L_24hrs,R_24hrs,L_48hrs,R_48hrs,L_72hrs,R_72hrs,L_7D,R_7D,L_10D,R_10D,L_17D,R_17D,L_24D,R_24D,L_31D,R_31D,L_60D,R_60D,L_180D,R_180D
76,Naive,1.193599851,1.193599851,0.586856509,0.646266987,0.603170562,0.449162599,0.502489311,0.96175711,0.880236762,1.124387726,1.193599851,1.019216904,1.016340349,1.193599851,1.118873297,1.332029803,1.016340349,0.99180203,1.088828378,1.149884817,0.913807401,1.268326405,1.193937506,1.016340349
77,Naive,1.108824834,1.118873297,0.61802636,0.462108321,0.603170562,0.874750543,0.882999888,0.910281682,1.075158263,1.193599851,1.371197008,1.47406761,1.016340349,1.016340349,1.193599851,1.088828378,0.99180203,1.296470454,1.118873297,1.016340349,0.99180203,1.296470454,0.913044808,0.913807401
78,Naive,0.882999888,1.193937506,0.117908884,0.420400077,0.419465843,0.587711889,0.399286613,0.782265792,0.742603933,0.910281682,0.909418807,1.045113343,1.110717612,0.81051186,1.296470454,1.118873297,1.118873297,1.193599851,1.268326405,1.075158263,,,,
79,Naive,1.065583962,1.149884817,0.359536555,0.256126517,0.602225939,0.802680808,0.740327048,0.950592439,1.2291592,0.910281682,1.084953888,1.268326405,1.193937506,1.066528584,1.193599851,1.163554932,1.158234516,1.090155724,1.252755419,1.266425534,0.712119927,0.783210415,,
80,Naive,1.045786682,0.99180203,0.419465843,0.571636898,0.44409426,0.449162599,0.662771094,0.60338362,1.027361379,0.948086995,0.711175304,0.912558567,0.96175711,0.980182414,1.118873297,1.016340349,1.124387726,1.118873297,0.706730078,1.045113343,0.99180203,1.168454564,0.783210415,1.091066903
81,Naive,1.118873297,1.016340349,0.685746108,0.60338362,0.821847396,1.026416757,1.193937506,0.736658246,1.016340349,1.075158263,1.118873297,1.118873297,1.118873297,1.118873297,1.118873297,1.118873297,1.471438711,1.193599851,1.016340349,1.193937506,,,,
82,Naive,0.948086995,1.118873297,0.263700753,0.365102326,0.478853317,0.821847396,0.630636817,0.699867351,1.026416757,1.118873297,1.045113343,0.910281682,0.774322629,0.820902774,0.985008236,0.651545574,1.118873297,0.73054523,0.864730763,0.889269082,1.149884817,1.075158263,1.045113343,1.252755419
83,Naive,0.986295429,1.371197008,0.244189123,0.309709366,0.384706786,0.717963292,0.523927099,0.960812488,0.594177355,0.501028411,0.624134113,0.439534764,0.821847396,0.972625315,0.55150686,0.538253407,0.66923656,0.874750543,1.066528584,0.581921914,1.296470454,1.016340349,1.045113343,1.124387726
84,CFA,1.154432646,1.045786682,0.520574176,0.587801132,0.360999988,0.794356056,0.384706786,0.384706786,0.352805791,0.404218416,0.408364913,0.239594953,0.466360147,0.376922412,0.566297078,0.508557669,0.508235978,0.435769508,0.418798244,0.419465843,0.418798244,0.451569928,0.326240931,0.342041351
85,CFA,1.296470454,1.193937506,1.027361379,0.821847396,0.717963292,0.342041351,0.46360589,0.435190296,0.329220997,0.255573749,0.311732535,0.292220904,0.45989468,0.369337356,0.567351972,0.470071356,0.745843569,0.506280784,0.373211202,0.419465843,0.395881049,0.345752561,0.342041351,0.369337356
86,CFA,1.154432646,0.99180203,0.576087616,0.560287195,0.470528565,0.618970983,0.243807065,0.326240931,0.369337356,0.342041351,0.487190685,0.400507207,0.445576756,0.361121991,0.445576756,0.520574176,0.341610361,0.61802636,0.403868513,0.411128476,0.271495948,0.345752561,0.403868513,0.325509787
87,CFA,0.871991395,1.010227334,0.7854873,0.7854873,0.395881049,0.676430777,0.435769508,0.326240931,0.3108715,0.456962866,0.403868513,0.301865375,0.369337356,0.355001935,0.345752561,0.294339936,0.476859343,0.579326466,0.400507207,0.478865933,0.309709366,0.500444138,,
88,CFA,1.118873297,1.075158263,0.864730763,0.821847396,0.538253407,0.544718873,0.443245973,0.435769508,0.418798244,0.542904243,0.464410026,0.592005891,0.294339936,0.384706786,0.399286613,0.4584934,0.501770512,0.535154003,0.542904243,0.542904243,0.373211202,0.618970983,0.470071356,0.537450635
89,CFA,1.371197008,1.016340349,1.027361379,0.808897603,0.7854873,0.632876464,0.290454809,0.501770512,0.326240931,0.325509787,0.305702236,0.586856509,0.508235978,0.472747394,0.48522799,0.5283862,0.3108715,0.873859458,0.451569928,0.406064656,0.539471695,0.414281538,0.361121991,0.329220997
90,CFA,1.055363913,1.268326405,0.820902774,0.783210415,0.61802636,0.62173757,0.404218416,0.3108715,0.455281138,0.326240931,0.44409426,0.445451389,0.493278172,0.374344886,0.345752561,0.418658731,0.344468424,0.352805791,0.345752561,0.341610361,0.481410595,0.400507207,0.345752561,0.342041351
91,CFA,0.984478012,1.108824834,0.60338362,0.60338362,0.690266547,0.404218416,0.352805791,0.404218416,0.309709366,0.325509787,0.449162599,0.399946117,0.369337356,0.425446718,0.380633622,0.435190296,0.369337356,0.542904243,0.313068677,0.400507207,0.420400077,0.529928655,,
